taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,taxonRank,taxonomicStatus,domain,cnamedomain,superkingdom,cnamesuperkingdom,kingdom,cnmaKingdom,kingdomKey,subkingdom,cnamesubkingdom,superphylum,cnamesuperphylum,phylum,cnamePhylum,phylumKey,subphylum,cnmaesubphylum,superclass,cnamesuperclass,class,cnameClass,classKey,subclass,cnamesubclass,superorder,cnamesuperorder,order,cnameOrder,orderKey,suborder,cnamesuborder,superfamily,cnamesuperfamily,family,cnameFamily,familyKey,subfamily,cnamesubfamily,supertribe,cnamesupertribe,tribe,cnametribe,subtribe,cnamesubtribe,genus,cnameGenus,genusKey,subgenus,cnamesubgenus,species,cnameSpecies,speciesKey,subspecies,cnmaesubspecies,variety,cnamevariety,iucnRedListCategory,statuskepunahan
3783,Meinertellidae,3783,Meinertellidae,FAMILY,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Archaeognatha,Ekor-bulu pelompat,1187,,,,,Meinertellidae,Ekor-bulu batu,3783.0,,,,,,,,,,,,,,,,,,,,,,
10848891,BOLD:ADF6726,10848891,BOLD:ADF6726,FAMILY,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Archaeognatha,Ekor-bulu pelompat,1187,,,,,Machilidae,Ekor-bulu pelompat,7768.0,,,,,,,,,,,,,,,,,,,,,,
1187,Archaeognatha,1187,Archaeognatha,ORDER,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Insecta,Serangga,216,,,,,Archaeognatha,Ekor-bulu pelompat,1187,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,
