taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,taxonRank,taxonomicStatus,domain,cnamedomain,superkingdom,cnamesuperkingdom,kingdom,cnameKingdom,kingdomKey,subkingdom,cnamesubkingdom,superphylum,cnamesuperphylum,phylum,cnamePhylum,phylumKey,subphylum,cnmaesubphylum,superclass,cnamesuperclass,class,cnameClass,classKey,subclass,cnamesubclass,superorder,cnamesuperorder,order,cnameOrder,orderKey,suborder,cnamesuborder,superfamily,cnamesuperfamily,family,cnameFamily,familyKey,subfamily,cnamesubfamily,supertribe,cnamesupertribe,tribe,cnametribe,subtribe,cnamesubtribe,genus,cnameGenus,genusKey,subgenus,cnamesubgenus,species,cnameSpecies,speciesKey,subspecies,cnmaesubspecies,variety,cnamevariety,iucnRedListCategory,statuskepunahan
4393257,"Hamaxas feae (de Bormans, 1894)",4393257,"Hamaxas feae (de Bormans, 1894)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuk-buku,54,,,,,Insecta,Serangga,216,,,,,Dermaptera,Lelawi,1224,,,,,Chelisochidae,Lelawi hitam,7860.0,,,,,,,,,Hamaxas,,1419871.0,,,Hamaxas feae,Lelawi hitam,4393257.0,,,,,NE,
4393265,"Hamaxas melanocephalus (Dohrn, 1865)",4393265,"Hamaxas melanocephalus (Dohrn, 1865)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuk-buku,54,,,,,Insecta,Serangga,216,,,,,Dermaptera,Lelawi,1224,,,,,Chelisochidae,Lelawi hitam,7860.0,,,,,,,,,Hamaxas,,1419871.0,,,Hamaxas melanocephalus,Lelawi hitam,4393265.0,,,,,NE,
4393203,"Chelisochella superba (Dohrn, 1865)",4393203,"Chelisochella superba (Dohrn, 1865)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuk-buku,54,,,,,Insecta,Serangga,216,,,,,Dermaptera,Lelawi,1224,,,,,Chelisochidae,Lelawi hitam,7860.0,,,,,,,,,Chelisochella,,4393201.0,,,Chelisochella superba,Lelawi hitam,4393203.0,,,,,NE,
4393224,"Adiathetus shelfordi (Burr, 1900)",4393224,"Adiathetus shelfordi (Burr, 1900)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuk-buku,54,,,,,Insecta,Serangga,216,,,,,Dermaptera,Lelawi,1224,,,,,Chelisochidae,Lelawi hitam,7860.0,,,,,,,,,Adiathetus,,4393218.0,,,Adiathetus shelfordi,Lelawi hitam,4393224.0,,,,,NE,
4393231,"Proreus ludekingi (Dohrn, 1865)",4393231,"Proreus ludekingi (Dohrn, 1865)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuk-buku,54,,,,,Insecta,Serangga,216,,,,,Dermaptera,Lelawi,1224,,,,,Chelisochidae,Lelawi hitam,7860.0,,,,,,,,,Proreus,,4393228.0,,,Proreus ludekingi,Lelawi hitam,4393231.0,,,,,NE,
4393233,"Proreus simulans (Stal, 1860)",4393233,"Proreus simulans (Stal, 1860)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuk-buku,54,,,,,Insecta,Serangga,216,,,,,Dermaptera,Lelawi,1224,,,,,Chelisochidae,Lelawi hitam,7860.0,,,,,,,,,Proreus,,4393228.0,,,Proreus simulans,Lelawi hitam,4393233.0,,,,,NE,
4393228,"Proreus Burr, 1907",4393228,"Proreus Burr, 1907",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuk-buku,54,,,,,Insecta,Serangga,216,,,,,Dermaptera,Lelawi,1224,,,,,Chelisochidae,Lelawi hitam,7860.0,,,,,,,,,Proreus,,4393228.0,,,,,,,,,,,
1419845,"Forficula auricularia Linnaeus, 1758",1419845,"Forficula auricularia Linnaeus, 1758",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuk-buku,54,,,,,Insecta,Serangga,216,,,,,Dermaptera,Lelawi,1224,,,,,Forficulidae,Lelawi biasa,7861.0,,,,,,,,,Forficula,,1419844.0,,,Forficula auricularia,Lelawi biasa,1419845.0,,,,,NE,
4393053,"Forficula greeni Burr, 1907",4393053,"Forficula greeni Burr, 1907",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuk-buku,54,,,,,Insecta,Serangga,216,,,,,Dermaptera,Lelawi,1224,,,,,Forficulidae,Lelawi biasa,7861.0,,,,,,,,,Forficula,,1419844.0,,,Forficula greeni,Lelawi biasa,4393053.0,,,,,NE,
1419844,"Forficula Linnaeus, 1758",1419844,"Forficula Linnaeus, 1758",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuk-buku,54,,,,,Insecta,Serangga,216,,,,,Dermaptera,Lelawi,1224,,,,,Forficulidae,Lelawi biasa,7861.0,,,,,,,,,Forficula,,1419844.0,,,,,,,,,,,
