taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,taxonRank,taxonomicStatus,domain,cnamedomain,superkingdom,cnamesuperkingdom,kingdom,cnameKingdom,kingdomKey,subkingdom,cnamesubkingdom,superphylum,cnamesuperphylum,phylum,cnamePhylum,phylumKey,subphylum,cnmaesubphylum,superclass,cnamesuperclass,class,cnmaeClass,classKey,subclass,cnamesubclass,superorder,cnamesuperorder,order,cnameOrder,orderKey,suborder,cnamesuborder,superfamily,cnamesuperfamily,family,cnameFamily,familyKey,subfamily,cnamesubfamily,supertribe,cnamesupertribe,tribe,cnametribe,subtribe,cnamesubtribe,genus,cnameGenus,genusKey,subgenus,cnamesubgenus,species,cnameSpecies,speciesKey,subspecies,cnmaesubspecies,variety,cnamevariety,iucnRedListCategory,statuskepunahan
5186393,"Phoronis australis Haswell, 1883",5186393,"Phoronis australis Haswell, 1883",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Lophotrochozoa,Mahkota tentakel-silia,Phoronida,Cacing tapak-kuda,19,,,,,,,,,,,,,,,,,,,Phoronidae,Cacing tapak-kuda,3237816.0,,,,,,,,,Phoronis,Cacing tapak-kuda,2269631.0,,,Phoronis australis,Cacing-tapal-kuda anemon,5186393.0,,,,,NE,
2269655,"Phoronopsis californica Hilton, 1930",2269655,"Phoronopsis californica Hilton, 1930",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Lophotrochozoa,Mahkota tentakel-silia,Phoronida,Cacing tapak-kuda,19,,,,,,,,,,,,,,,,,,,Phoronidae,Cacing tapak-kuda,3237816.0,,,,,,,,,Phoronopsis,Cacing tapak-kuda,2269649.0,,,Phoronopsis californica,Cacing-tapal-kuda california,2269655.0,,,,,NE,
19,Phoronida,19,Phoronida,PHYLUM,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Lophotrochozoa,Mahkota tentakel-silia,Phoronida,Cacing tapak-kuda,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
