taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,taxonRank,taxonomicStatus,domain,cnamedomain,superkingdom,cnamesuperkingdom,kingdom,cnameKindom,kingdomKey,subkingdom,cnamesubkingdom,superphylum,cnamesuperphylum,phylum,cnamePhylum,phylumKey,subphylum,cnmaesubphylum,superclass,cnamesuperclass,class,cnameClass,classKey,subclass,cnamesubclass,superorder,cnamesuperorder,order,cnameOrder,orderKey,suborder,cnamesuborder,superfamily,cnamesuperfamily,family,cnameFamily,familyKey,subfamily,cnamesubfamily,supertribe,cnamesupertribe,tribe,cnametribe,subtribe,cnamesubtribe,genus,cnameGenus,genusKey,subgenus,cnamesubgenus,species,cnameSpecies,speciesKey,subspecies,cnmaesubspecies,variety,cnamevariety,iucnRedListCategory,statuskepunahan
5232580,"Haplodiscus bocki Dörjes, 1970",5232580,"Haplodiscus bocki Dörjes, 1970",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,,,,,Xenacoelomorpha,,7190138,Acoelomorpha ,,,,,,,,,,,Acoela,,8139547,Bursalia,,Aberrantospermata ,,Convolutidae,,1961.0,,,,,,,,,Haplodiscus,,2499242.0,,,Haplodiscus bocki,,5232580.0,,,,,NE,
1961,Convolutidae,1961,Convolutidae,FAMILY,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,,,,,Xenacoelomorpha,,7190138,Acoelomorpha ,,,,,,,,,,,Acoela,,8139547,Bursalia,,Aberrantospermata ,,Convolutidae,,1961.0,,,,,,,,,,,,,,,,,,,,,,
10830328,BOLD:AEB1521,10830328,BOLD:AEB1521,ORDER,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,,,,,Xenacoelomorpha,,7190138,Acoelomorpha ,,,,,,,,,,,Acoela,,8139547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
