taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,taxonRank,taxonomicStatus,domain,cnamedomain,superkingdom,cnamesuperkingdom,kingdom,cnameKingdom,kingdomKey,subkingdom,cnamesubkingdom,superphylum,cnamesuperphylum,phylum,cnamePhylum,phylumKey,subphylum,cnmaesubphylum,superclass,cnamesuperclass,class,cnameClass,classKey,subclass,cnamesubclass,superorder,cnamesuperorder,order,cnameOrder,orderKey,suborder,cnamesuborder,superfamily,cnamesuperfamily,family,cnameFamily,familyKey,subfamily,cnamesubfamily,supertribe,cnamesupertribe,tribe,cnametribe,subtribe,cnamesubtribe,genus,cnameGenus,genusKey,subgenus,cnamesubgenus,species,cnameSpecies,speciesKey,subspecies,cnmaesubspecies,variety,cnamevariety,iucnRedListCategory,statuskepunahan
1021670,"Sphaeropoeus magnus Chamberlin, 1921",1021670,"Sphaeropoeus magnus Chamberlin, 1921",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Diplopoda,Kaki-seribu,361,,,,,Sphaerotheriida,Kaki-seribu moncong,1249.0,,,,,Zephroniidae,Kaki-seribu-bola asia-tenggara,9663.0,,,,,,,,,Sphaeropoeus,Kaki-seribu-bola asia-tenggara,1021409.0,,,Sphaeropoeus magnus,Kaki-seribu-bola asia-tenggara,1021670.0,,,,,NE,
1021706,"Sphaeropoeus malaccanus Verhoeff, 1924",1021706,"Sphaeropoeus malaccanus Verhoeff, 1924",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Diplopoda,Kaki-seribu,361,,,,,Sphaerotheriida,Kaki-seribu moncong,1249.0,,,,,Zephroniidae,Kaki-seribu-bola asia-tenggara,9663.0,,,,,,,,,Sphaeropoeus,Kaki-seribu-bola asia-tenggara,1021409.0,,,Sphaeropoeus malaccanus,Kaki-seribu-bola asia-tenggara,1021706.0,,,,,NE,
1021409,"Sphaeropoeus Brandt, 1833",1021409,"Sphaeropoeus Brandt, 1833",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Diplopoda,Kaki-seribu,361,,,,,Sphaerotheriida,Kaki-seribu moncong,1249.0,,,,,Zephroniidae,Kaki-seribu-bola asia-tenggara,9663.0,,,,,,,,,Sphaeropoeus,Kaki-seribu-bola asia-tenggara,1021409.0,,,,,,,,,,,
1021725,"Zephronia profuga Attems, 1936",1021725,"Zephronia profuga Attems, 1936",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Diplopoda,Kaki-seribu,361,,,,,Sphaerotheriida,Kaki-seribu moncong,1249.0,,,,,Zephroniidae,Kaki-seribu-bola asia-tenggara,9663.0,,,,,,,,,Zephronia,Kaki-seribu-bola asia-tenggara,1021542.0,,,Zephronia profuga,Kaki-seribu-bola asia-tenggara,1021725.0,,,,,NE,
1021615,"Castanotherium obscurum Chamberlin, 1921",1021615,"Castanotherium obscurum Chamberlin, 1921",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Diplopoda,Kaki-seribu,361,,,,,Sphaerotheriida,Kaki-seribu moncong,1249.0,,,,,Zephroniidae,Kaki-seribu-bola asia-tenggara,9663.0,,,,,,,,,Castanotherium,Kaki-seribu-bola asia-tenggara,1021559.0,,,Castanotherium obscurum,Kaki-seribu-bola asia-tenggara,1021615.0,,,,,NE,
1021559,"Castanotherium Pocock, 1895",1021559,"Castanotherium Pocock, 1895",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Diplopoda,Kaki-seribu,361,,,,,Sphaerotheriida,Kaki-seribu moncong,1249.0,,,,,Zephroniidae,Kaki-seribu-bola asia-tenggara,9663.0,,,,,,,,,Castanotherium,Kaki-seribu-bola asia-tenggara,1021559.0,,,,,,,,,,,
1021653,"Bothrobelum rugosum Verhoeff, 1924",1021653,"Bothrobelum rugosum Verhoeff, 1924",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Diplopoda,Kaki-seribu,361,,,,,Sphaerotheriida,Kaki-seribu moncong,1249.0,,,,,Zephroniidae,Kaki-seribu-bola asia-tenggara,9663.0,,,,,,,,,Bothrobelum,Kaki-seribu-bola asia-tenggara,1021652.0,,,Bothrobelum rugosum,Kaki-seribu-bola asia-tenggara,1021653.0,,,,,NE,
1021793,"Prionobelum Verhoeff, 1924",1021793,"Prionobelum Verhoeff, 1924",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Diplopoda,Kaki-seribu,361,,,,,Sphaerotheriida,Kaki-seribu moncong,1249.0,,,,,Zephroniidae,Kaki-seribu-bola asia-tenggara,9663.0,,,,,,,,,Prionobelum,Kaki-seribu-bola asia-tenggara,1021793.0,,,,,,,,,,,
9663,Zephroniidae,9663,Zephroniidae,FAMILY,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Diplopoda,Kaki-seribu,361,,,,,Sphaerotheriida,Kaki-seribu moncong,1249.0,,,,,Zephroniidae,Kaki-seribu-bola asia-tenggara,9663.0,,,,,,,,,,,,,,,,,,,,,NE,
9390309,"Cyliosoma larvalis (Butler, 1878)",9390309,"Cyliosoma larvalis (Butler, 1878)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuku-buku,54,,,,,Diplopoda,Kaki-seribu,361,,,,,Sphaerotheriida,Kaki-seribu moncong,1249.0,,,,,Cyliosomatidae,Kaki-seribu-bola asia-tenggara,9179992.0,,,,,,,,,Cyliosoma,Kaki-seribu-bola asia-tenggara,1021395.0,,,Cyliosoma larvalis,Kaki-seribu-bola asia-tenggara,9390309.0,,,,,NE,
