taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,taxonRank,taxonomicStatus,domain,cnamedomain,superkingdom,cnamesuperkingdom,kingdom,cnameKingdom,kingdomKey,subkingdom,cnamesubkingdom,superphylum,cnamesuperphylum,phylum,cnamePhylum,phylumKey,subphylum,cnmaesubphylum,superclass,cnamesuperclass,class,cnameClass,classKey,subclass,cnamesubclass,superorder,cnamesuperorder,order,cnmaeOrder,orderKey,suborder,cnamesuborder,superfamily,cnamesuperfamily,family,cnameFamily,familyKey,subfamily,cnamesubfamily,supertribe,cnamesupertribe,tribe,cnametribe,subtribe,cnamesubtribe,genus,cnameGenus,genusKey,subgenus,cnamesubgenus,species,cnameSpecies,speciesKey,subspecies,cnmaesubspecies,variety,cnamevariety,iucnRedListCategory,statuskepunahan
6357,Macrobiotidae,6357,Macrobiotidae,FAMILY,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Ecdysozoa,Kutikula tiga-lapis,Tardigrada,Beruang air,14,,,,,Eutardigrada,Beruang-air tubuh-halus,134,,,,,Parachela,Beruang-air tubuh-halus,426.0,,,Macrobiotoidea ,Beruang-air tubuh-halus,Macrobiotidae,Beruang-air cakar-simetris,6357.0,,,,,,,,,,,,,,,,,,,,,,
6358,Hypsibiidae,6358,Hypsibiidae,FAMILY,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Ecdysozoa,Kutikula tiga-lapis,Tardigrada,Beruang air,14,,,,,Eutardigrada,Beruang-air tubuh-halus,134,,,,,Parachela,Beruang-air tubuh-halus,426.0,,,Hypsibioidea,Beruang-air tubuh-halus,Hypsibiidae,Beruang-air tanpa-mata,6358.0,,,,,,,,,,,,,,,,,,,,,,
426,Parachela,426,Parachela,ORDER,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Ecdysozoa,Kutikula tiga-lapis,Tardigrada,Beruang air,14,,,,,Eutardigrada,Beruang-air tubuh-halus,134,,,,,Parachela,Beruang-air tubuh-halus,426.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Eutardigrada,134,Eutardigrada,CLASS,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Ecdysozoa,Kutikula tiga-lapis,Tardigrada,Beruang air,14,,,,,Eutardigrada,Beruang-air tubuh-halus,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10678776,"Bryodelphax australasiaticus Gasiorek, Voncina, Degma & Michalczyk, 2020",10678776,"Bryodelphax australasiaticus Gasiorek, Voncina, Degma & Michalczyk, 2020",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Ecdysozoa,Kutikula tiga-lapis,Tardigrada,Beruang air,14,,,,,Heterotardigrada,Beruang-air tubuh-kasar,247,,,,,Echiniscoidea,Beruang-air tubuh-kasar,425.0,,,,,Echiniscidae,Beruang-air hijau,3118.0,,,,,,,,,Bryodelphax,Beruang-air hijau-kecil,2253224.0,,,Bryodelphax australasiaticus,Beruang-air australia,10678776.0,,,,,NE,
10836692,"Bryodelphax decoratus Gasiorek, Voncina, Degma & Michalczyk, 2020",10836692,"Bryodelphax decoratus Gasiorek, Voncina, Degma & Michalczyk, 2020",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Ecdysozoa,Kutikula tiga-lapis,Tardigrada,Beruang air,14,,,,,Heterotardigrada,Beruang-air tubuh-kasar,247,,,,,Echiniscoidea,Beruang-air tubuh-kasar,425.0,,,,,Echiniscidae,Beruang-air hijau,3118.0,,,,,,,,,Bryodelphax,Beruang-air hijau-kecil,2253224.0,,,Bryodelphax decoratus,Beruang-air sulawesi,10836692.0,,,,,NE,
11177557,"Bryodelphax arenosus Gasiorek, 2018",11177557,"Bryodelphax arenosus Gasiorek, 2018",SPECIES,ACCEPTED,Eukaryota,Organisme sel-bernukelus,Eukaryota,Organisme sel-bernukelus,Animalia,Hewan,1,Eumetazoa,Hewan organ-sejati,Ecdysozoa,Kutikula tiga-lapis,Tardigrada,Beruang air,14,,,,,Heterotardigrada,Beruang-air tubuh-kasar,247,,,,,Echiniscoidea,Beruang-air tubuh-kasar,425.0,,,,,Echiniscidae,Beruang-air hijau,3118.0,,,,,,,,,Bryodelphax,Beruang-air hijau-kecil,2253224.0,,,Bryodelphax arenosus,Beruang-air kalimantan,11177557.0,,,,,NE,
